,School,State,ACT_Score,SAT_Score,Retention_Rate,Ave_Earning,Graduation_Rate
180,Brewton-Parker College,GA,17.0,953.0,0.4157,31229.0,0.0963
181,College of Coastal Georgia,GA,20.0,1018.0,0.5864,29724.0,0.0833
182,Columbus State University,GA,21.0,1019.0,0.7212,33372.0,0.1426
183,Covenant College,GA,27.0,1251.0,0.8631,35233.0,0.6493
184,Emmanuel College,GA,19.0,1033.0,0.5817,27433.0,0.2656
185,Emory University,GA,33.0,1449.0,0.9536,61633.0,0.8274
186,Fort Valley State University,GA,18.0,962.0,0.7466,26636.0,0.0945
187,Georgia Institute of Technology-Main Campus,GA,33.0,1465.0,0.972,78659.0,0.4004
188,Georgia Southwestern State University,GA,20.0,1037.0,0.6157,38154.0,0.139
189,Georgia College & State University,GA,25.0,1207.0,0.848,44706.0,0.4762
190,Georgia Southern University,GA,23.0,1139.0,0.7812,39820.0,0.2526
191,Georgia State University,GA,24.0,1160.0,0.8426,34072.0,0.2666
192,University of Georgia,GA,30.0,1345.0,0.9527,48858.0,0.6516
193,Gordon State College,GA,18.0,951.0,0.4151,29444.0,0.0
194,LaGrange College,GA,22.0,1100.0,0.5971,39681.0,0.42
195,Life University,GA,19.0,979.0,0.6283,35334.0,0.1667
196,Mercer University,GA,28.0,1279.0,0.8915,42312.0,0.4852
197,Morehouse College,GA,23.0,1120.0,0.7504,38825.0,0.425
198,Oglethorpe University,GA,25.0,1202.0,0.8042,37900.0,0.3935
199,Paine College,GA,16.0,887.0,0.6556,25018.0,0.1503
200,Piedmont University,GA,22.0,1093.0,0.6172,40479.0,0.3413
201,Reinhardt University,GA,21.0,1079.0,0.5958,35459.0,0.1579
202,Savannah College of Art and Design,GA,24.0,1157.0,0.8421,36606.0,0.5425
203,Savannah State University,GA,24.0,1251.0,0.6044,27812.0,0.1054
204,Shorter University,GA,21.0,1055.0,0.5475,36934.0,0.3786
